Country,ds,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
Grenada,1954-01-01,,,,,
Guadeloupe,1954-01-01,,,,,
Guam,1954-01-01,,,,,
Guyana,1954-01-01,,,,,
Jamaica,1954-01-01,,,,,
Jordan,1954-01-01,,,,,
Kazakhstan,1954-01-01,,,,,
Kosovo,1954-01-01,,,,,
Kuwait,1954-01-01,,,,,
Kyrgyzstan,1954-01-01,,,,,
Lebanon,1954-01-01,,,,,
Malaysia,1954-01-01,,,,,
Mauritius,1954-01-01,,,,,
Mayotte,1954-01-01,,,,,
Mexico,1954-01-01,,,,,
Micronesia (country),1954-01-01,,,,,
Moldova,1954-01-01,,,,,
Montserrat,1954-01-01,,,,,
New Caledonia,1954-01-01,,,,,
Niue,1954-01-01,,,,,
North Korea,1954-01-01,,,,,
North Macedonia,1954-01-01,,,,,
Palestine,1954-01-01,,,,,
Panama,1954-01-01,,,,,
Paraguay,1954-01-01,,,,,
Peru,1954-01-01,,,,,
Philippines,1954-01-01,,,,,
Qatar,1954-01-01,,,,,
Reunion,1954-01-01,,,,,
Russia,1954-01-01,,,,,
Saint Kitts and Nevis,1954-01-01,,,,,
Saint Lucia,1954-01-01,,,,,
Saint Vincent and the Grenadines,1954-01-01,,,,,
Samoa,1954-01-01,,,,,
Saudi Arabia,1954-01-01,,,,,
Seychelles,1954-01-01,,,,,
South Korea,1954-01-01,,,,,
Sri Lanka,1954-01-01,,,,,
Suriname,1954-01-01,,,,,
Syria,1954-01-01,,,,,
Thailand,1954-01-01,,,,,
Tokelau,1954-01-01,,,,,
Tonga,1954-01-01,,,,,
Trinidad and Tobago,1954-01-01,,,,,
Tunisia,1954-01-01,,,,,
Turkey,1954-01-01,,,,,
Turkmenistan,1954-01-01,,,,,
Turks and Caicos Islands,1954-01-01,,,,,
United Arab Emirates,1954-01-01,,,,,
Uzbekistan,1954-01-01,,,,,
Vanuatu,1954-01-01,,,,,
Venezuela,1954-01-01,,,,,
Vietnam,1954-01-01,,,,,
Wallis and Futuna,1954-01-01,,,,,
Albania,1955-01-01,,,,,
Anguilla,1955-01-01,,,,,
Armenia,1955-01-01,,,,,
Azerbaijan,1955-01-01,,,,,
Bahamas,1955-01-01,,,,,
Bahrain,1955-01-01,,,,,
Belize,1955-01-01,,,,,
Bosnia and Herzegovina,1955-01-01,,,,,
Brazil,1955-01-01,,,,,
British Virgin Islands,1955-01-01,,,,,
Brunei,1955-01-01,,,,,
Cape Verde,1955-01-01,,,,,
Cayman Islands,1955-01-01,,,,,
Chile,1955-01-01,,,,,
China,1955-01-01,,,,,
Colombia,1955-01-01,,,,,
Cook Islands,1955-01-01,,,,,
Dominica,1955-01-01,,,,,
Dominican Republic,1955-01-01,,,,,
Ecuador,1955-01-01,,,,,
Falkland Islands,1955-01-01,,,,,
Fiji,1955-01-01,,,,,
French Guiana,1955-01-01,,,,,
French Polynesia,1955-01-01,,,,,
Georgia,1955-01-01,,,,,
Greenland,1955-01-01,,,,,
Grenada,1955-01-01,,,,,
Guadeloupe,1955-01-01,,,,,
Guam,1955-01-01,,,,,
Guyana,1955-01-01,,,,,
Jamaica,1955-01-01,,,,,
Jordan,1955-01-01,,,,,
Kazakhstan,1955-01-01,,,,,
Kosovo,1955-01-01,,,,,
Kuwait,1955-01-01,,,,,
Kyrgyzstan,1955-01-01,,,,,
Lebanon,1955-01-01,,,,,
Malaysia,1955-01-01,,,,,
Mauritius,1955-01-01,,,,,
Mayotte,1955-01-01,,,,,
Mexico,1955-01-01,,,,,
Micronesia (country),1955-01-01,,,,,
