Country,Year,LE
Greece,1972,72.8
Greece,1973,73.0
Greece,1974,73.5
Greece,1975,73.4
Greece,1976,73.7
Greece,1977,73.7
Greece,1978,74.4
Greece,1979,74.7
Greece,1980,74.6
Greece,1981,75.0
Greece,1982,75.3
Greece,1983,75.6
Greece,1984,75.8
Greece,1985,76.1
Greece,1986,76.5
Greece,1987,76.3
Greece,1988,77.0
Greece,1989,77.1
Greece,1990,77.3
Greece,1991,77.4
Greece,1992,77.3
Greece,1993,77.7
Greece,1994,77.8
Greece,1995,77.8
Greece,1996,78.0
Greece,1997,78.3
Greece,1998,78.2
Greece,1999,78.3
Greece,2000,78.4
Greece,2001,78.8
Greece,2002,79.0
Greece,2003,79.0
Greece,2004,79.3
Greece,2005,79.6
Greece,2006,79.7
Greece,2007,79.6
Greece,2008,80.0
Greece,2009,80.3
Greece,2010,80.5
Greece,2011,80.5
Greece,2012,80.3
Greece,2013,81.0
Greece,2014,81.0
Greece,2015,80.7
Greece,2016,81.2
Greece,2017,80.9
Greece,2018,81.4
Greece,2019,81.2
Greece,2020,80.9
Greece,2021,80.1
Guernsey,1950,70.2
Guernsey,1951,70.3
Guernsey,1952,72.3
Guernsey,1953,72.4
Guernsey,1954,72.0
Guernsey,1955,73.4
Guernsey,1956,72.3
Guernsey,1957,72.0
Guernsey,1958,72.6
Guernsey,1959,72.5
Guernsey,1960,73.0
Guernsey,1961,71.1
Guernsey,1962,71.3
Guernsey,1963,71.8
Guernsey,1964,72.9
Guernsey,1965,72.9
Guernsey,1966,72.7
Guernsey,1967,74.0
Guernsey,1968,71.9
Guernsey,1969,72.2
Guernsey,1970,73.0
Guernsey,1971,72.8
Guernsey,1972,73.9
Guernsey,1973,73.8
Guernsey,1974,73.7
Guernsey,1975,73.5
Guernsey,1976,73.9
Guernsey,1977,74.0
Guernsey,1978,74.9
Guernsey,1979,74.5
Guernsey,1980,75.2
Guernsey,1981,75.1
Guernsey,1982,75.0
Guernsey,1983,74.9
Guernsey,1984,76.2
Guernsey,1985,75.7
Guernsey,1986,76.1
Guernsey,1987,77.3
Guernsey,1988,77.3
Guernsey,1989,77.8
Guernsey,1990,77.8
Guernsey,1991,76.3
Guernsey,1992,78.7
Guernsey,1993,77.3
Guernsey,1994,78.5
Guernsey,1995,78.4
Guernsey,1996,78.6
Guernsey,1997,78.3
Guernsey,1998,79.4
Guernsey,1999,79.7
Guernsey,2000,79.8
Guernsey,2001,79.9
Guernsey,2002,80.0
Guernsey,2003,79.9
Guernsey,2004,80.6
Guernsey,2005,81.0
Guernsey,2006,81.8
Guernsey,2007,81.7
Guernsey,2008,82.7
Guernsey,2009,82.0
Guernsey,2010,82.4
Guernsey,2011,82.9
Guernsey,2012,82.4
Guernsey,2013,82.4
Guernsey,2014,82.8
Guernsey,2015,82.3
Guernsey,2016,82.6
Guernsey,2017,82.1
Guernsey,2018,82.3
Guernsey,2019,82.4
Guernsey,2020,82.2
Guernsey,2021,82.2
Hong Kong,1950,59.3
Hong Kong,1951,59.8
Hong Kong,1952,60.5
Hong Kong,1953,61.5
Hong Kong,1954,62.4
Hong Kong,1955,63.0
Hong Kong,1956,63.6
Hong Kong,1957,64.1
Hong Kong,1958,64.6
Hong Kong,1959,65.3
Hong Kong,1960,66.2
Hong Kong,1961,66.9
Hong Kong,1962,67.3
Hong Kong,1963,68.0
Hong Kong,1964,68.8
Hong Kong,1965,69.6
Hong Kong,1966,69.9
Hong Kong,1967,70.3
Hong Kong,1968,70.7
Hong Kong,1969,70.9
Hong Kong,1970,71.3
Hong Kong,1971,71.9
Hong Kong,1972,72.4
Hong Kong,1973,72.9
Hong Kong,1974,73.5
Hong Kong,1975,73.6
Hong Kong,1976,73.7
Hong Kong,1977,73.4
Hong Kong,1978,73.6
Hong Kong,1979,74.0
Hong Kong,1980,74.9
Hong Kong,1981,75.4
Hong Kong,1982,75.6
Hong Kong,1983,75.8
Hong Kong,1984,76.1
Hong Kong,1985,76.6
Hong Kong,1986,76.8
Hong Kong,1987,77.0
Hong Kong,1988,77.1
Hong Kong,1989,77.2
Hong Kong,1990,77.5
Hong Kong,1991,77.7
Hong Kong,1992,78.0
Hong Kong,1993,78.3
Hong Kong,1994,78.7
Hong Kong,1995,79.2
Hong Kong,1996,79.5
Hong Kong,1997,79.7
Hong Kong,1998,80.1
Hong Kong,1999,80.3
Hong Kong,2000,80.7
Hong Kong,2001,81.1
Hong Kong,2002,81.3
Hong Kong,2003,81.2
Hong Kong,2004,81.4
Hong Kong,2005,81.8
Hong Kong,2006,82.0
Hong Kong,2007,82.2
Hong Kong,2008,82.4
Hong Kong,2009,82.6
Hong Kong,2010,83.0
Hong Kong,2011,83.2
Hong Kong,2012,83.6
Hong Kong,2013,83.8
Hong Kong,2014,84.1
Hong Kong,2015,84.3
Hong Kong,2016,84.5
Hong Kong,2017,84.9
Hong Kong,2018,85.2
Hong Kong,2019,85.3
Hong Kong,2020,85.2
Hong Kong,2021,85.5
Hungary,1950,62.1
Hungary,1951,62.5
Hungary,1952,63.9
Hungary,1953,63.9
Hungary,1954,65.4
Hungary,1955,66.9
Hungary,1956,66.0
Hungary,1957,66.3
Hungary,1958,67.4
Hungary,1959,67.3
Hungary,1960,68.1
Hungary,1961,69.0
Hungary,1962,67.9
Hungary,1963,68.9
Hungary,1964,69.5
Hungary,1965,69.1
Hungary,1966,69.9
Hungary,1967,69.5
Hungary,1968,69.3
Hungary,1969,69.4
Hungary,1970,69.2
Hungary,1971,69.1
Hungary,1972,69.7
Hungary,1973,69.6
Hungary,1974,69.3
Hungary,1975,69.4
Hungary,1976,69.7
Hungary,1977,69.9
Hungary,1978,69.5
Hungary,1979,69.7
Hungary,1980,69.1
Hungary,1981,69.2
Hungary,1982,69.4
Hungary,1983,68.9
Hungary,1984,69.0
Hungary,1985,68.9
Hungary,1986,69.1
Hungary,1987,69.6
Hungary,1988,69.9
Hungary,1989,69.4
Hungary,1990,69.4
Hungary,1991,69.4
Hungary,1992,69.2
Hungary,1993,69.2
Hungary,1994,69.6
Hungary,1995,70.0
Hungary,1996,70.6
Hungary,1997,71.0
Hungary,1998,70.9
Hungary,1999,71.0
Hungary,2000,71.8
Hungary,2001,72.4
Hungary,2002,72.5
Hungary,2003,72.5
Hungary,2004,72.9
Hungary,2005,72.9
Hungary,2006,73.3
Hungary,2007,73.4
Hungary,2008,74.0
Hungary,2009,74.2
Hungary,2010,74.5
Hungary,2011,74.9
Hungary,2012,75.2
Hungary,2013,75.7
Hungary,2014,75.8
Hungary,2015,75.7
Hungary,2016,76.2
Hungary,2017,76.0
Hungary,2018,76.2
Hungary,2019,76.5
Hungary,2020,75.7
Hungary,2021,74.5
Iceland,1950,71.2
Iceland,1951,71.3
Iceland,1952,72.2
Iceland,1953,72.2
Iceland,1954,73.2
Iceland,1955,73.1
Iceland,1956,72.8
Iceland,1957,73.0
Iceland,1958,73.1
Iceland,1959,72.6
Iceland,1960,73.8
Iceland,1961,73.1
Iceland,1962,73.5
Iceland,1963,73.0
Iceland,1964,73.3
Iceland,1965,73.8
Iceland,1966,73.1
Iceland,1967,73.5
Iceland,1968,73.8
Iceland,1969,73.4
Iceland,1970,73.6
Iceland,1971,73.4
Iceland,1972,74.2
Iceland,1973,74.3
Iceland,1974,74.5
Iceland,1975,75.5
Iceland,1976,76.6
Iceland,1977,76.2
Iceland,1978,76.6
Iceland,1979,76.6
Iceland,1980,76.5
Iceland,1981,76.0
Iceland,1982,76.8
Iceland,1983,76.5
Iceland,1984,77.4
Iceland,1985,77.2
Iceland,1986,78.0
Iceland,1987,77.3
Iceland,1988,76.9
Iceland,1989,77.9
Iceland,1990,78.2
Iceland,1991,77.8
Iceland,1992,78.6
Iceland,1993,78.7
Iceland,1994,79.2
Iceland,1995,78.2
Iceland,1996,78.6
Iceland,1997,79.0
Iceland,1998,79.5
Iceland,1999,79.2
Iceland,2000,79.9
Iceland,2001,80.7
Iceland,2002,80.5
Iceland,2003,80.8
Iceland,2004,81.0
Iceland,2005,81.2
Iceland,2006,81.2
Iceland,2007,81.4
Iceland,2008,81.4
Iceland,2009,81.6
Iceland,2010,81.7
Iceland,2011,82.2
Iceland,2012,82.6
Iceland,2013,81.9
Iceland,2014,82.6
Iceland,2015,82.4
Iceland,2016,82.0
Iceland,2017,82.5
Iceland,2018,82.8
Iceland,2019,82.4
Iceland,2020,82.6
Iceland,2021,82.7
Ireland,1950,65.6
Ireland,1951,64.8
Ireland,1952,67.2
Ireland,1953,67.9
Ireland,1954,68.0
Ireland,1955,68.0
Ireland,1956,69.0
Ireland,1957,69.0
Ireland,1958,69.3
Ireland,1959,69.4
Ireland,1960,70.2
Ireland,1961,69.6
Ireland,1962,69.9
Ireland,1963,70.2
Ireland,1964,70.4
Ireland,1965,70.6
Ireland,1966,70.2
Ireland,1967,71.2
Ireland,1968,70.9
Ireland,1969,70.8
Ireland,1970,70.8
Ireland,1971,71.6
Ireland,1972,71.0
Ireland,1973,71.2
Ireland,1974,71.1
Ireland,1975,71.7
Ireland,1976,71.8
Ireland,1977,71.9
Ireland,1978,71.9
Ireland,1979,72.2
Ireland,1980,72.5
Ireland,1981,72.9
Ireland,1982,73.2
Ireland,1983,73.2
Ireland,1984,73.6
Ireland,1985,73.6
Ireland,1986,73.6
Ireland,1987,74.4
Ireland,1988,74.4
Ireland,1989,74.5
Ireland,1990,74.8
Ireland,1991,75.0
Ireland,1992,75.4
Ireland,1993,75.3
Ireland,1994,75.8
Ireland,1995,75.5
Ireland,1996,75.8
Ireland,1997,76.0
Ireland,1998,76.2
Ireland,1999,76.1
Ireland,2000,76.5
Ireland,2001,77.1
Ireland,2002,77.6
Ireland,2003,78.1
Ireland,2004,78.5
Ireland,2005,78.9
Ireland,2006,79.2
Ireland,2007,79.6
Ireland,2008,79.8
Ireland,2009,80.0
Ireland,2010,80.5
Ireland,2011,80.6
Ireland,2012,80.8
Ireland,2013,81.0
Ireland,2014,81.3
Ireland,2015,81.4
Ireland,2016,81.5
Ireland,2017,81.9
Ireland,2018,82.1
Ireland,2019,82.3
Ireland,2020,82.5
Ireland,2021,82.0
Isle of Man,1950,61.4
Isle of Man,1951,62.3
Isle of Man,1952,64.0
Isle of Man,1953,64.9
Isle of Man,1954,64.6
Isle of Man,1955,65.3
Isle of Man,1956,64.9
Isle of Man,1957,65.0
Isle of Man,1958,65.0
Isle of Man,1959,65.5
Isle of Man,1960,64.4
Isle of Man,1961,63.6
Isle of Man,1962,64.3
Isle of Man,1963,63.5
Isle of Man,1964,64.8
Isle of Man,1965,65.0
Isle of Man,1966,65.3
Isle of Man,1967,66.0
Isle of Man,1968,65.6
Isle of Man,1969,65.2
Isle of Man,1970,65.7
Isle of Man,1971,66.0
Isle of Man,1972,65.4
Isle of Man,1973,66.6
Isle of Man,1974,66.0
Isle of Man,1975,66.9
Isle of Man,1976,67.2
Isle of Man,1977,67.3
Isle of Man,1978,67.5
Isle of Man,1979,67.9
Isle of Man,1980,68.3
Isle of Man,1981,69.1
Isle of Man,1982,69.1
Isle of Man,1983,69.7
Isle of Man,1984,69.9
Isle of Man,1985,69.5
Isle of Man,1986,70.3
Isle of Man,1987,70.7
Isle of Man,1988,71.2
Isle of Man,1989,70.9
Isle of Man,1990,72.0
Isle of Man,1991,72.2
Isle of Man,1992,73.1
Isle of Man,1993,72.3
Isle of Man,1994,73.3
Isle of Man,1995,73.3
Isle of Man,1996,73.8
Isle of Man,1997,73.7
Isle of Man,1998,74.6
Isle of Man,1999,73.7
Isle of Man,2000,74.7
Isle of Man,2001,75.5
Isle of Man,2002,75.4
Isle of Man,2003,76.1
Isle of Man,2004,77.0
Isle of Man,2005,77.6
Isle of Man,2006,78.2
Isle of Man,2007,78.3
Isle of Man,2008,78.4
Isle of Man,2009,78.7
Isle of Man,2010,79.0
Isle of Man,2011,79.2
Isle of Man,2012,79.3
Isle of Man,2013,79.5
Isle of Man,2014,80.0
Isle of Man,2015,78.9
Isle of Man,2016,80.3
Isle of Man,2017,80.5
Isle of Man,2018,80.6
Isle of Man,2019,80.7
Isle of Man,2020,80.6
Isle of Man,2021,80.5
Israel,1950,68.2
Israel,1951,68.1
Israel,1952,68.0
Israel,1953,68.1
Israel,1954,68.3
Israel,1955,68.7
Israel,1956,68.7
Israel,1957,69.0
Israel,1958,69.5
Israel,1959,69.9
Israel,1960,70.4
Israel,1961,70.8
Israel,1962,71.0
Israel,1963,71.1
Israel,1964,71.2
Israel,1965,71.3
Israel,1966,71.4
Israel,1967,71.4
Israel,1968,71.3
Israel,1969,71.4
Israel,1970,71.4
Israel,1971,71.5
Israel,1972,71.6
Israel,1973,71.7
Israel,1974,71.8
Israel,1975,72.1
Israel,1976,72.5
Israel,1977,72.8
Israel,1978,73.1
Israel,1979,73.4
Israel,1980,73.7
Israel,1981,74.2
