Country,sMAPE,Cluster
Colombia,1.6340294927892816,Cluster 4
Cayman Islands,1.6845727802252317,Cluster 4
China,1.705215438635167,Cluster 4
Samoa,1.8795769011716403,Cluster 4
Suriname,1.9725204360150548,Cluster 4
Trinidad and Tobago,2.004090103310629,Cluster 4
Azerbaijan,2.043023843965666,Cluster 4
Saint Lucia,2.103685196326615,Cluster 4
Kuwait,2.1505554473327617,Cluster 4
Guyana,2.1651275689016125,Cluster 4
Micronesia (country),2.20076676298938,Cluster 4
Seychelles,2.261325540930506,Cluster 4
Mauritius,2.3475313029418596,Cluster 4
Albania,2.382420637261144,Cluster 4
New Caledonia,2.441145897829486,Cluster 4
Qatar,2.564583611534298,Cluster 4
North Macedonia,2.631742384231282,Cluster 4
Saint Vincent and the Grenadines,2.654540496934965,Cluster 4
Armenia,2.7368549236372712,Cluster 4
Paraguay,2.8007083311067835,Cluster 4
British Virgin Islands,2.813886752544271,Cluster 4
Jordan,2.869966430800668,Cluster 4
Dominican Republic,2.9070467384167213,Cluster 4
Bahamas,3.048757174210695,Cluster 4
Kosovo,3.0630705181687263,Cluster 4
Turks and Caicos Islands,3.3251256941178675,Cluster 4
Kazakhstan,3.349145850916621,Cluster 4
Turkey,3.5912221528034296,Cluster 4
Brazil,3.6402073177126133,Cluster 4
Tokelau,3.710955969949513,Cluster 4
Chile,3.750837968108478,Cluster 4
Mexico,3.913893990075968,Cluster 4
Guam,3.918956220709651,Cluster 4
Greenland,3.9493708280861224,Cluster 4
Tunisia,3.9502641787127333,Cluster 4
Philippines,4.079417998574477,Cluster 4
Vanuatu,4.343070623564263,Cluster 4
Cape Verde,4.392823625767821,Cluster 4
Belize,4.5405615306777,Cluster 4
Saudi Arabia,4.548542806746643,Cluster 4
Anguilla,4.5808732893189195,Cluster 4
South Korea,4.585570052649877,Cluster 4
Dominica,4.593941515825219,Cluster 4
Sri Lanka,4.638518164021999,Cluster 4
Saint Kitts and Nevis,4.972038710884428,Cluster 4
Palestine,5.107243557729496,Cluster 4
Vietnam,5.367212985921791,Cluster 4
French Polynesia,5.63796785978312,Cluster 4
Ecuador,6.023710404977471,Cluster 4
Niue,6.103062161126297,Cluster 4
Peru,6.279779831319805,Cluster 4
Bahrain,6.505166156328792,Cluster 4
Cook Islands,7.379205763205595,Cluster 4
Russia,8.473901720402175,Cluster 4
Syria,8.54558391156537,Cluster 4
Wallis and Futuna,9.497930481126996,Cluster 4
Lebanon,11.64231322566647,Cluster 4
Falkland Islands,12.111332037447688,Cluster 4
North Korea,19.652722316531552,Cluster 4
