Country,ds,y_tr,y_repr_tr,adjusted_val,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
Kiribati,1954-01-01,46.0,42.2,3.799999999999997,,,,,
Libya,1954-01-01,33.8,42.2,-8.400000000000006,,,,,
Maldives,1954-01-01,36.8,42.2,-5.400000000000006,,,,,
Marshall Islands,1954-01-01,52.8,42.2,10.599999999999994,,,,,
Mauritania,1954-01-01,40.8,42.2,-1.4000000000000057,,,,,
Mongolia,1954-01-01,40.3,42.2,-1.9000000000000057,,,,,
Morocco,1954-01-01,40.4,42.2,-1.8000000000000043,,,,,
Myanmar,1954-01-01,39.6,42.2,-2.6000000000000014,,,,,
Namibia,1954-01-01,43.7,42.2,1.5,,,,,
Nauru,1954-01-01,57.5,42.2,15.299999999999997,,,,,
Nicaragua,1954-01-01,43.0,42.2,0.7999999999999972,,,,,
Oman,1954-01-01,31.4,42.2,-10.800000000000004,,,,,
Pakistan,1954-01-01,39.4,42.2,-2.8000000000000043,,,,,
Palau,1954-01-01,53.4,42.2,11.199999999999996,,,,,
Papua New Guinea,1954-01-01,41.8,42.2,-0.4000000000000057,,,,,
Sao Tome and Principe,1954-01-01,40.4,42.2,-1.8000000000000043,,,,,
Solomon Islands,1954-01-01,42.8,42.2,0.5999999999999943,,,,,
South Africa,1954-01-01,47.1,42.2,4.899999999999999,,,,,
Tajikistan,1954-01-01,51.9,42.2,9.699999999999996,,,,,
Tuvalu,1954-01-01,40.1,42.2,-2.1000000000000014,,,,,
Zimbabwe,1954-01-01,51.0,42.2,8.799999999999997,,,,,
Algeria,1955-01-01,40.4,43.0,-2.6000000000000014,,,,,
Bangladesh,1955-01-01,41.9,43.0,-1.1000000000000014,,,,,
Bolivia,1955-01-01,41.7,43.0,-1.2999999999999972,,,,,
Botswana,1955-01-01,47.6,43.0,4.600000000000001,,,,,
Congo,1955-01-01,43.7,43.0,0.7000000000000028,,,,,
Egypt,1955-01-01,41.7,43.0,-1.2999999999999972,,,,,
El Salvador,1955-01-01,45.4,43.0,2.3999999999999986,,,,,
Gabon,1955-01-01,43.2,43.0,0.20000000000000284,,,,,
Ghana,1955-01-01,45.5,43.0,2.5,,,,,
Guatemala,1955-01-01,41.6,43.0,-1.3999999999999986,,,,,
Honduras,1955-01-01,44.7,43.0,1.7000000000000028,,,,,
India,1955-01-01,43.4,43.0,0.3999999999999986,,,,,
Indonesia,1955-01-01,42.9,43.0,-0.10000000000000142,,,,,
Iran,1955-01-01,41.2,43.0,-1.7999999999999972,,,,,
Iraq,1955-01-01,46.6,43.0,3.6000000000000014,,,,,
Kenya,1955-01-01,43.0,43.0,0.0,,,,,
Kiribati,1955-01-01,46.2,43.0,3.200000000000003,,,,,
Libya,1955-01-01,34.3,43.0,-8.700000000000003,,,,,
Maldives,1955-01-01,36.9,43.0,-6.100000000000001,,,,,
